,Zipcode,Latitude,Longitude
198,36009,31.5958902,-86.2361744
199,35033,33.9619019,-87.0424393
200,35034,32.8918051,-87.28172719999999
201,35042,32.9103223,-87.10237459999999
202,36426,31.0909734,-87.0224442
203,36427,31.1086113,-87.07142979999999
204,35740,34.9425439,-85.7461548
205,35035,33.0655264,-87.0024407
206,35548,34.0660263,-87.7566513
207,35563,33.9796877,-87.913867
208,35594,33.9323545,-87.7566513
209,36429,31.26303249999999,-86.7697297
210,35036,33.6384247,-86.9188985
211,35073,33.6589518,-86.9724198
212,35117,33.6793182,-86.8922723
213,35214,33.5675257,-86.8922723
214,35444,33.3422925,-87.32149079999999
215,35490,33.2507984,-87.2419299
216,35741,34.7341405,-86.4693235
217,36010,31.6730282,-85.78716630000001
218,35958,34.9396485,-85.6640365
219,36512,31.0037523,-87.9996115
220,36560,31.0873351,-88.0314174
221,35446,33.2051326,-87.7664934
222,35038,33.71,-87.08999999999999
223,36904,32.1395316,-88.22664340000001
224,36253,33.6166072,-85.9526037
225,35040,33.1034486,-86.72151749999999
226,35051,33.1900838,-86.6006249
227,35115,33.1075575,-86.8822445
228,36513,31.1575834,-88.00979509999999
229,36560,31.0873351,-88.0314174
230,36726,31.9179303,-87.2618328
231,36850,32.7562451,-85.6640365
232,36727,31.9209021,-88.0411993
233,35742,34.7628319,-86.7862914
234,35549,33.8393995,-87.55936129999999
235,35073,33.6589518,-86.9724198
236,36545,31.6579081,-87.97268100000001
237,35447,33.267534,-88.14865700000001
238,36432,31.2982897,-87.0824045
239,36728,32.1723218,-87.48020679999999
240,36013,32.2985146,-85.99684789999999
241,35959,34.232406,-85.6640365
242,35960,34.1177222,-85.56121
243,35042,32.9103223,-87.10237459999999
244,36316,31.1847994,-85.8588594
245,36015,31.6497142,-86.7212677
246,36518,31.4578061,-88.3433623
247,35043,33.3154129,-86.67118169999999
248,35051,33.1900838,-86.6006249
249,35147,33.4121457,-86.51986509999999
250,35186,33.2776365,-86.51986509999999
251,35242,33.4165524,-86.681253
252,35616,34.7143539,-88.050979
253,35014,33.4051137,-86.2767995
254,35044,33.2620931,-86.3680869
255,35150,33.173129,-86.2516271
256,35151,33.0715042,-86.3782198
257,36207,33.656468,-85.7461548
258,36521,30.9520403,-88.1876676
259,36522,31.113856,-88.28504199999999
260,35045,32.7872186,-86.681253
261,35046,32.8960792,-86.5400674
262,35048,33.69941,-86.60551
263,35126,33.7286079,-86.6409554
264,35146,33.7905088,-86.4592091
265,35173,33.6370355,-86.5602614
266,35215,33.6523096,-86.7114545
267,35235,33.6226176,-86.64599439999999
268,36016,31.8642373,-85.39627689999999
269,35049,33.9613939,-86.59053709999999
270,35121,33.9459806,-86.438974
271,35448,32.9148087,-87.99297159999999
272,36017,31.6771291,-85.57150150000001
273,36048,31.8040261,-85.62292959999999
274,36317,31.6588192,-85.37562489999999
275,35617,34.9403293,-87.7723597
276,35449,33.1585253,-87.34042869999999
277,35453,33.164362,-87.4009165
278,36523,30.3652254,-88.1584129
279,36318,31.1762846,-85.95089229999999
280,36524,31.8177224,-87.9922684
281,35452,33.2710751,-87.68769689999999
282,35961,34.2838399,-85.8690933
283,36319,31.3305414,-85.1271907
284,35040,33.1034486,-86.72151749999999
285,35051,33.1900838,-86.6006249
286,35052,33.5893275,-86.3595081
287,36020,32.5004051,-86.31231969999999
288,36025,32.5409874,-86.34781509999999
289,36054,32.4737616,-86.3680869
290,35550,33.7530339,-87.1722037
291,35404,33.2223499,-87.4901086
292,35453,33.164362,-87.4009165
293,36851,32.1468608,-85.0736223
294,36320,31.0609933,-85.2515482
295,35618,34.634236,-87.32149079999999
296,35672,34.6801686,-87.4009165
297,36301,31.1348407,-85.39627689999999
298,36303,31.2483723,-85.37562489999999
299,36312,31.1524625,-85.2515482
300,36321,31.2055886,-85.29811
301,36435,31.8541789,-87.48020679999999
302,36255,33.1639063,-85.7461548
303,35053,34.0519273,-87.0824045
304,36505,30.9491662,-87.9922684
305,36525,30.8686947,-87.9824758
306,35054,33.5073711,-86.32753509999999
307,35962,34.289226,-86.0325629
308,35963,34.3638293,-85.9406745
309,36907,32.4137362,-88.38219889999999
310,35055,34.1437581,-86.7516942
311,35056,34.1692112,-86.84791609999999
312,35057,34.137022,-86.9223432
313,35058,34.2207322,-86.72151749999999
314,35077,34.0667074,-86.7818523
315,35179,34.2723105,-87.0024407
316,36852,32.7545453,-85.30328109999999
317,36850,32.7562451,-85.6640365
318,36853,32.8054982,-85.78716630000001
319,36861,32.896939,-85.8281458
320,36322,31.2611309,-85.7461548
321,36330,31.3108193,-85.8690933
322,36352,31.2570062,-85.62292959999999
323,35619,34.36487109999999,-87.1622344
324,36526,30.6257115,-87.8746146
325,36527,30.7189323,-87.9530849
326,36532,30.48763749999999,-87.8746146
327,36528,30.2490953,-88.099845
328,36256,33.050912,-85.7256372
329,36276,33.1350232,-85.56121
330,35963,34.3638293,-85.9406745
331,36257,33.6265471,-85.7517214
332,36022,32.5989197,-86.39847929999999
333,36054,32.4737616,-86.3680869
334,35601,34.627813,-87.0424393
335,35602,34.61,-86.97999999999999
336,35603,34.5363567,-86.9223432
337,35609,34.606651,-86.98241929999999
338,35640,34.447771,-86.9223432
339,35671,34.6700684,-86.96240859999999
340,35673,34.5746479,-87.1323139
341,35699,34.61,-86.97999999999999
342,36529,31.3196278,-88.2655845
343,36584,31.1838252,-88.38219889999999
344,35551,34.1702634,-87.6059921
345,36258,33.499314,-85.7256372
346,36732,32.4068841,-87.913867
347,36742,32.496853,-87.7160456
348,35552,34.0725292,-88.14865700000001
349,36436,31.7776993,-87.6482474
350,36736,32.0755092,-87.7664934
351,35060,33.5587029,-86.9311104
352,35061,33.4710248,-86.94989179999999
353,35062,33.6941622,-87.0424393
354,35130,33.6075398,-87.1622344
355,36301,31.1348407,-85.39627689999999
356,36302,31.2197115,-85.3929544
357,36303,31.2483723,-85.37562489999999
358,36304,31.25,-85.41
359,36305,31.2070554,-85.49941919999999
360,36312,31.1524625,-85.2515482
361,36321,31.2055886,-85.29811
362,36345,31.38234929999999,-85.2929384
363,36350,31.3440967,-85.49941919999999
364,35553,34.1472004,-87.3612205
365,35957,34.1636556,-86.2767995
366,35964,34.1795853,-86.3164977
367,35980,34.178087,-86.3883506
368,36028,31.5093425,-86.39847929999999
369,35456,33.0302537,-87.4405786
370,35744,34.6059215,-85.899783
371,36023,32.61,-85.81
372,36260,33.5867783,-86.00195149999999
373,35457,33.298071,-87.78371179999999
